group,variable,value
BMI,infantdeaths,-0.23
BMI,Alcohol,0.33
BMI,percentageexpenditure,0.23
BMI,HepatitisB,0.15
BMI,Measles,-0.18
BMI,BMI,1
BMI,under-fivedeaths,-0.24
BMI,Polio,0.28
BMI,Totalexpenditure,0.24
BMI,Diphtheria,0.28
BMI,HIV/AIDS,-0.24
BMI,GDP,0.3
BMI,thinness1-19years,-0.53
BMI,thinness5-9years,-0.54
BMI,Incomecompositionofresources,0.51
BMI,Schooling,0.55
under-fivedeaths,Year,-0.04
under-fivedeaths,Lifeexpectancy,-0.22
under-fivedeaths,AdultMortality,0.09
under-fivedeaths,infantdeaths,1
under-fivedeaths,Alcohol,-0.11
under-fivedeaths,percentageexpenditure,-0.09
under-fivedeaths,HepatitisB,-0.23
under-fivedeaths,Measles,0.51
under-fivedeaths,BMI,-0.24
under-fivedeaths,under-fivedeaths,1
under-fivedeaths,Polio,-0.19
under-fivedeaths,Totalexpenditure,-0.13
under-fivedeaths,Diphtheria,-0.2
under-fivedeaths,HIV/AIDS,0.04
under-fivedeaths,GDP,-0.11
under-fivedeaths,thinness1-19years,0.47
under-fivedeaths,thinness5-9years,0.47
under-fivedeaths,Incomecompositionofresources,-0.16
under-fivedeaths,schooling,-0.21
Polio,Year,0.09
Polio,Lifeexpectancy,0.47
Polio,AdultMortality,-0.27
Polio,infantdeaths,-0.17
Polio,Alcohol,0.22
Polio,percentageexpenditure,0.15
Polio,HepatitisB,0.49
Polio,Measles,-0.14
Polio,BMI,0.28
Polio,under-fivedeaths,-0.19
Polio,Polio,1
Polio,Totalexpenditure,0.14
Polio,Diphtheria,0.67
Polio,HIV/AIDS,-0.16
Polio,GDP,0.21
Polio,thinness1-19years,-0.22
Polio,thinness5-9years,-0.22
Polio,Incomecompositionofresources,0.38
Polio,schooling,0.42
Totalexpenditure,Year,0.09
Totalexpenditure,Lifeexpectancy,0.22
Totalexpenditure,AdultMortality,-0.12
Totalexpenditure,infantdeaths,-0.13
Totalexpenditure,Alcohol,0.3
Totalexpenditure,percentageexpenditure,0.17
Totalexpenditure,HepatitisB,0.06
Totalexpenditure,Measles,-0.11
Totalexpenditure,BMI,0.24
Totalexpenditure,under-fivedeaths,-0.13
Totalexpenditure,Polio,0.14
Totalexpenditure,Totalexpenditure,1
Totalexpenditure,Diphtheria,0.15
Totalexpenditure,HIV/AIDS,0
Totalexpenditure,GDP,0.14
Totalexpenditure,thinness1-19years,-0.28
Totalexpenditure,thinness5-9years,-0.28
Totalexpenditure,Incomecompositionofresources,0.17
Totalexpenditure,schooling,0.25
Diphtheria,Year,0.13
Diphtheria,Lifeexpectancy,0.48
Diphtheria,AdultMortality,-0.28
Diphtheria,infantdeaths,-0.18
Diphtheria,Alcohol,0.22
Diphtheria,percentageexpenditure,0.14
Diphtheria,HepatitisB,0.61
Diphtheria,Measles,-0.14
Diphtheria,BMI,0.28
Diphtheria,under-fivedeaths,-0.2
Diphtheria,Polio,0.67
Diphtheria,Totalexpenditure,0.15
Diphtheria,Diphtheria,1
Diphtheria,HIV/AIDS,-0.16
Diphtheria,GDP,0.2
Diphtheria,thinness1-19years,-0.23
Diphtheria,thinness5-9years,-0.22
Diphtheria,Incomecompositionofresources,0.4
Diphtheria,schooling,0.43
HIV/AIDS,Year,-0.14
HIV/AIDS,Lifeexpectancy,-0.56
HIV/AIDS,AdultMortality,0.52
HIV/AIDS,infantdeaths,0.03
HIV/AIDS,Alcohol,-0.05
HIV/AIDS,percentageexpenditure,-0.1
HIV/AIDS,HepatitisB,-0.11
HIV/AIDS,Measles,0.03
HIV/AIDS,BMI,-0.24
HIV/AIDS,under-fivedeaths,0.04
HIV/AIDS,Polio,-0.16
HIV/AIDS,Totalexpenditure,0
HIV/AIDS,Diphtheria,-0.16
HIV/AIDS,HIV/AIDS,1
HIV/AIDS,GDP,-0.14
HIV/AIDS,thinness1-19years,0.2
HIV/AIDS,thinness5-9years,0.21
HIV/AIDS,Incomecompositionofresources,-0.25
HIV/AIDS,schooling,-0.22
GDP,Year,0.1
GDP,Lifeexpectancy,0.46
GDP,AdultMortality,-0.3
GDP,infantdeaths,-0.11
GDP,Alcohol,0.35
GDP,percentageexpenditure,0.9
GDP,HepatitisB,0.08
GDP,Measles,-0.08
GDP,BMI,0.3
GDP,under-fivedeaths,-0.11
GDP,Polio,0.21
GDP,Totalexpenditure,0.14
GDP,Diphtheria,0.2
GDP,HIV/AIDS,-0.14
GDP,GDP,1
GDP,thinness1-19years,-0.29
GDP,thinness5-9years,-0.29
GDP,Incomecompositionofresources,0.46
GDP,schooling,0.45
thinness1-19years,Year,-0.05
thinness1-19years,Lifeexpectancy,-0.48
thinness1-19years,AdultMortality,0.3
thinness1-19years,infantdeaths,0.47
thinness1-19years,Alcohol,-0.43
thinness1-19years,percentageexpenditure,-0.25
thinness1-19years,HepatitisB,-0.12
thinness1-19years,Measles,0.22
thinness1-19years,BMI,-0.53
thinness1-19years,under-fivedeaths,0.47
thinness1-19years,Polio,-0.22
thinness1-19years,Totalexpenditure,-0.28
thinness1-19years,Diphtheria,-0.23
thinness1-19years,HIV/AIDS,0.2
thinness1-19years,GDP,-0.29
thinness1-19years,thinness1-19years,1
thinness1-19years,thinness5-9years,0.94
thinness1-19years,Incomecompositionofresources,-0.42
thinness1-19years,schooling,-0.47
thinness5-9years,Year,-0.05
thinness5-9years,Lifeexpectancy,-0.47
thinness5-9years,AdultMortality,0.31
thinness5-9years,infantdeaths,0.47
thinness5-9years,Alcohol,-0.42
thinness5-9years,percentageexpenditure,-0.25
thinness5-9years,HepatitisB,-0.12
thinness5-9years,Measles,0.22
thinness5-9years,BMI,-0.54
thinness5-9years,under-fivedeaths,0.47
thinness5-9years,Polio,-0.22
thinness5-9years,Totalexpenditure,-0.28
thinness5-9years,Diphtheria,-0.22
thinness5-9years,HIV/AIDS,0.21
thinness5-9years,GDP,-0.29
thinness5-9years,thinness1-19years,0.94
thinness5-9years,thinness5-9years,1
thinness5-9years,Incomecompositionofresources,-0.41
thinness5-9years,schooling,-0.46
Incomecompositionofresources,Year,0.24
Incomecompositionofresources,Lifeexpectancy,0.72
Incomecompositionofresources,AdultMortality,-0.46
Incomecompositionofresources,infantdeaths,-0.15
Incomecompositionofresources,Alcohol,0.45
Incomecompositionofresources,percentageexpenditure,0.38
Incomecompositionofresources,HepatitisB,0.2
Incomecompositionofresources,Measles,-0.13
Incomecompositionofresources,BMI,0.51
Incomecompositionofresources,under-fivedeaths,-0.16
Incomecompositionofresources,Polio,0.38
Incomecompositionofresources,Totalexpenditure,0.17
Incomecompositionofresources,Diphtheria,0.4
Incomecompositionofresources,HIV/AIDS,-0.25
Incomecompositionofresources,GDP,0.46
Incomecompositionofresources,thinness1-19years,-0.42
Incomecompositionofresources,thinness5-9years,-0.41
Incomecompositionofresources,Incomecompositionofresources,1
Incomecompositionofresources,schooling,0.8
schooling,Year,0.21
schooling,Lifeexpectancy,0.75
schooling,AdultMortality,-0.45
schooling,infantdeaths,-0.19
schooling,Alcohol,0.55
schooling,percentageexpenditure,0.39
schooling,HepatitisB,0.23
schooling,Measles,-0.14
schooling,BMI,0.55
schooling,under-fivedeaths,-0.21
schooling,Polio,0.42
schooling,Totalexpenditure,0.25
schooling,Diphtheria,0.43
schooling,HIV/AIDS,-0.22
schooling,GDP,0.45
schooling,thinness1-19years,-0.47
schooling,thinness5-9years,-0.46
schooling,Incomecompositionofresources,0.8
schooling,schooling,1
